7/24/2007,Gulden Draak,10,,
7/24/2007,Duvel,9,,
7/24/2007,Grimbergen Cuvée Ambrée / Double (Dubbel),9,,
7/24/2007,De Proef Lunatique (Cuvee Diabolique),8,,
7/24/2007,Grimbergen Blonde,8,,
7/24/2007,Hacker-Pschorr (Hefe) Weisse,8,,
7/24/2007,Harpoon UFO Hefeweizen,8,,
7/24/2007,Left Hand Jackmans Pale Ale,8,,
7/24/2007,Moosbacher Weissbier,8,,
7/24/2007,Ommegang Three Philosophers,8,,
7/24/2007,Schneider Weisse Original,8,,
7/24/2007,Spaten Optimator,8,,
7/24/2007,St Peters Golden Ale,8,,
7/24/2007,Abita Purple Haze,7,,
7/24/2007,Green Valley Brewing Wild Hop Lager,7,,
7/24/2007,Lost Coast 8 Ball Stout,7,,
7/24/2007,St Peters Organic Ale,7,,
7/24/2007,Yuengling Traditional Lager,7,,
7/24/2007,Ayingerbrau Hefe Weizen,6,,
7/24/2007,Dogfish Head Midas Touch Golden Elixir,6,,
7/24/2007,Lost Coast Great White,6,,
7/24/2007,Mississippi Mud Black & Tan,6,,
7/24/2007,Samuel Adams White Ale,6,,
7/24/2007,Samuel Smiths Organic Lager,6,,
7/24/2007,Spanish Peaks Honey Raspberry Ale,6,,
7/24/2007,Tilburgs Dutch Brown Ale,6,,
7/25/2007,Hoegaarden,8,,
7/25/2007,O'Hanlon's Thomas Hardys Ale (vintage 2003 and later),8,,
7/25/2007,Schloss Eggenberg Samichlaus Bier,7,,
7/25/2007,Hornsbys Crisp Apple (Hard Apple),5,,
7/27/2007,Hofbräu Münchner Weisse,7,,
7/27/2007,Anchor Liberty Ale,6,,
7/27/2007,Gouden Carolus Classic,6,,
7/27/2007,Yuengling Original Black and Tan,6,,
7/27/2007,Coopers Vintage Ale,4,,
7/28/2007,Allagash White,7,,
7/28/2007,Left Hand Good Juju Ginger,7,,
7/28/2007,Paulaner Salvator,7,,
7/28/2007,Belhaven Scottish Ale / Export (Bottle & Keg),6,,
7/28/2007,Budweiser Budvar (Czechvar) 12°,6,,
7/28/2007,Dragon Stout,6,,
7/28/2007,Guinness Extra Stout (North America),6,,
7/28/2007,Indian River Honey Amber Rose,6,,
7/28/2007,Lakefront New Grist Sorghum Beer,6,,
7/28/2007,LandShark Lager,6,,
7/28/2007,Samuel Adams Boston Lager,6,,
7/28/2007,Shipyard Export Ale,6,,
7/28/2007,Singha,6,,
7/28/2007,Tsingtao,6,,
7/28/2007,Val-Dieu Triple,6,,
7/28/2007,Abita Golden Lager,5,,
7/28/2007,Flying Dog Snake Dog IPA (through 2007),5,,
7/28/2007,Miller Chill Chelada Style,5,,
7/28/2007,North Coast PranQster Belgian,5,,
7/28/2007,Ommegang Abbey Ale,5,,
7/28/2007,Tequiza,5,,
7/28/2007,Tiger Beer,5,,
7/28/2007,Val-Dieu Blonde,5,,
7/28/2007,Woodchuck Amber Draft Cider,5,,
7/28/2007,Zlatý Bažant 12% (Golden Pheasant),5,,
7/28/2007,Abita Turbodog,4,,
7/28/2007,Atlantic Bar Harbor Real Ale,4,,
7/28/2007,Boulder Beer Singletrack Copper Ale,4,,
7/28/2007,Budweiser,4,,
7/28/2007,Budweiser Select,4,,
7/28/2007,Club Premium Lager (Ghana),4,,
7/28/2007,DAB Original,4,,
7/28/2007,Dogfish Head Indian Brown Ale,4,,
7/28/2007,Fosters Lager,4,,
7/28/2007,Gallo,4,,
7/28/2007,Gaymers K Cider (US version),4,,
7/28/2007,Miller Genuine Draft (MGD),4,,
7/28/2007,Miller Lite,4,,
7/28/2007,Sam Adams Light,4,,
7/28/2007,Samuel Smiths India Ale,4,,
7/28/2007,Tommyknocker Maple Nut Brown Ale,4,,
7/28/2007,Woodchuck Granny Smith Draft Cider,4,,
7/28/2007,Bud Ice,3,,
7/28/2007,Dinkelacker Golden Lager,3,,
7/28/2007,Carib Shandy (Ginger),2,,
7/28/2007,Miller High Life,2,,
7/28/2007,Miller High Life Light,2,,
7/28/2007,Morland Tanners Jack (Bottle),2,,
7/28/2007,Natural Light,2,,
7/28/2007,Olympia Gold Light,2,,
7/28/2007,Pabst Blue Ribbon,2,,
7/28/2007,Samuel Adams Cherry Wheat,2,,
7/28/2007,Verhaeghe Duchesse De Bourgogne,2,,
7/28/2007,Bud Dry,1,,
7/28/2007,Keystone Light,1,,
7/28/2007,Morland Old Speckled Hen (Filtered),1,,
7/29/2007,Becks,5,,
7/29/2007,Heineken,5,,
7/29/2007,Bud Light,4,,
7/29/2007,Coors Light,4,,
8/1/2007,Leinenkugels Sunset Wheat,8,,
8/1/2007,Harp Lager,7,,
8/1/2007,Abita Amber Lager,5,,
8/1/2007,Bass Pale Ale,5,,
8/1/2007,Key West Sunset Ale,4,,
8/18/2007,Ayinger Ur-Weisse,9,,
8/18/2007,Augustiner Dunkel,8,,
8/18/2007,Augustiner Weissbier,7,,
8/18/2007,Augustiner Lagerbier Hell,6,,
8/18/2007,Carlsberg Elephant,6,,
8/18/2007,Hofbrauhaus Hatz Weizen Kristallklar,6,,
8/18/2007,Murphys Irish Stout,6,,
8/18/2007,Peroni Nastro Azzurro,6,,
8/18/2007,Rose Street Brewery Devils Kiss (Bottle & Keg),6,,
8/18/2007,Tucher Kristall Weizen,6,,
8/18/2007,Ayinger Premium-Pils,5,,
8/18/2007,Forst Premium,5,,
8/18/2007,Kaiser Premium (Austria),5,,
8/18/2007,Royal Weiss,4,,
8/18/2007,Forst Sixtus Doppelbock,3,,
8/18/2007,Hofbrauhaus Hatz Radler,3,,
8/29/2007,Franziskaner Hefe-Weissbier Dunkel,10,,
9/19/2007,New Belgium Fat Tire,7,,
9/19/2007,New Belgium Mothership Wit,7,,
9/19/2007,Leinenkugels Honey Weiss Bier,6,,
9/19/2007,Trader Joes Bavarian Style Hefeweizen,6,,
9/24/2007,Odell 90 Shilling,6,,
9/26/2007,Paulaner Hefe-Weissbier,9,,
9/30/2007,Leinenkugels Berry Weiss,6,,
10/3/2007,Unibroue Maudite,8,,
10/3/2007,Schlafly Hefeweizen,7,,
10/3/2007,Schlafly Pale Ale,5,,
10/12/2007,Tsingtao Draft Beer 11° (Pure Draft Beer),7,,
10/16/2007,Heilemans Old Style,4,,
10/24/2007,Schlafly No. 15,8,,
10/24/2007,Unibroue Trois Pistoles,8,,
10/28/2007,New Belgium Abbey,5,,
11/2/2007,Samuel Adams Imperial Pilsner,6,,
11/4/2007,Delirium Nocturnum,9,,
11/4/2007,Bud Extra (B-to-the-E),3,,
11/11/2007,Stella Artois,5,,
11/14/2007,Petes Wicked Strawberry Blonde,5,,
11/18/2007,Sea Dog Long Hot Summer Wheat Beer,5,,
11/20/2007,Leffe Blonde,7,,
11/20/2007,Pauwel Kwak,6,,
11/20/2007,Lindemans Framboise,5,,
11/20/2007,Kasteelbier Tripel Blonde 11%,4,,
11/21/2007,Leinenkugels Apple Spice,6,,
11/26/2007,Bulmers (Magners Original Irish) Cider,8,,
11/26/2007,Fullers London Porter (Bottle/Keg),7,,
11/26/2007,Murphys Irish Red Beer,6,,
11/26/2007,Boddingtons Pub Ale (Can),4,,
11/28/2007,Sierra Nevada Pale Ale (Bottle),6,,
12/1/2007,Fullers ESB (Bottle/Keg),8,,
12/1/2007,Redhook ESB,7,,
12/1/2007,Breckenridge Christmas Ale,6,,
12/1/2007,OFallon 5-Day IPA,6,,
